Year,PREANAV,TMPANA,TMNANA,TMXANA,WETANA,VAPANA,PETANA,CLDANAV,Maize.yield
1961,-21.3939600740348,0.565406134320465,0.486933632998426,0.642035695399272,-1.52682046536224,0.543900846113186,0.103645742993128,-0.956801163405572,0.965730957818096
1962,27.1674620952057,-0.173403158583476,0.00858667282131265,-0.347255792379588,1.82163168532478,-0.0750301651892329,-0.0255285115040902,-1.10890918624345,0.617522763406029
1963,-0.0254783783098276,0.0277445350812755,0.0901575414441353,-0.036546292676146,0.367107182627979,0.116045949143597,-0.00876314923098231,-0.448995605626422,0.599374977698638
1964,5.00721850541852,0.0188492153147273,0.0916462388668826,-0.0558358054903891,0.689606026547359,0.0671291891116894,-0.042058170187552,1.33293957844553,-0.00218258345107459
1965,-16.9344472536092,-0.310089117883134,-0.506947234910442,-0.105124330822324,-1.16087178291708,-0.581780445284963,0.0845864256262034,-3.01310363402759,-0.717981023285211
1966,-0.980475655393043,0.120929535487704,0.204377120112163,0.0355881313280477,-0.214326245765335,0.199317045953642,-0.0408293617897177,1.62287475695421,-0.832385805524064
1967,-1.71086669993299,0.081905175427238,-0.0543806960652979,0.216301580960735,-0.480757361997412,-0.0595783371724963,0.102694467564685,-2.65912524860907,-0.318318866632724
1968,22.574379612771,-0.687162198064534,-0.473220683442836,-0.892983981924271,1.40983486838669,-0.678466594663377,-0.143842086310588,1.60089634928257,-0.171037194904442
1969,3.96526328271886,-0.126272584987607,-0.0721428420204404,-0.182268557326971,0.537450445386977,-0.127347726519002,-0.0594390234155373,1.68293955062913,-0.202099572677918
1970,1.48178430991062,0.274574014658008,0.308852828201882,0.228447854752645,0.132089369003442,0.343778267260635,-0.038096343750162,2.43700435543062,-0.61320994261114
1971,-11.0560573056537,-0.134622399127679,-0.230233672775864,-0.0408347456854337,-1.20624836076391,-0.225088613324477,0.0501859526855357,-2.13690923631299,-0.790414660065685
1972,-10.7982615639741,-0.133861826344667,-0.169402344953678,-0.100116358641202,-0.897562743915083,-0.0239483682743291,-0.0235921341084415,-0.208801224601665,-0.719898386503334
1973,-5.18482846505066,0.516855733007038,0.481346811668431,0.540603015885335,-0.391853780450074,0.707199002411077,0.0265693958679067,1.02132839056458,-0.647574147904376
1974,-6.95575800888329,-0.032469721072566,-0.15798620290953,0.091323377894188,-0.499121470368884,-0.111646501268261,0.0606705426145764,-2.09652039081426,-0.464577076587649
1975,-10.381050195472,-0.0218381885834695,-0.15740138868756,0.122044727385347,-0.729365813671514,-0.10048487931234,0.0417113061315701,-0.962347568738174,-0.200195690254175
1976,-14.4807050248168,-0.151249669525676,-0.226898745665657,-0.0772329356411809,-1.27258681035796,-0.219316131721168,0.01269168641889,-0.826153143207165,0.910939766113339
1977,1.68527750308224,0.179295836100806,0.14352172615617,0.2234903888146,0.231215539571771,0.131859741505266,0.00561168347653229,1.27206288577876,0.752872042001378
1978,20.8968973882252,-0.140201671704009,-0.00613997322207283,-0.265785299247309,2.06204123611769,-0.136957259633039,-0.169528702695501,6.25230051821961,-0.291990291852178
1979,20.1041546306121,-0.129742192940135,0.0141161561996128,-0.275059999826915,2.33989027927978,-0.0657671351360953,-0.102729472097211,3.08455975411538,-1.25104740235676
1980,-12.4729507697571,0.240674272392436,0.134290114421233,0.335666287075792,-1.13523733094195,0.195430114996114,0.0840093752714033,-1.50115940653393,-1.89772773748558
1981,4.30558118711757,0.00104772429370215,-0.0356180985572223,0.0363935614608124,-0.403341594547488,-0.0933655092364276,0.000687839410343116,0.575143036271676,0.104971369886364
1982,-1.15024949876384,0.101378162763666,-0.0156084827357468,0.217121823328139,-0.324422511536852,-0.0521540078337068,0.0683059203196059,-0.976532917467793,2.74222094734532
1983,9.66955717259864,0.231665587802322,0.26431896188566,0.207851072677776,0.801519918089966,0.36906461920427,-0.00213638200080801,0.713812732247668,0.99297435656121
1984,-15.344998798795,0.061909999409675,-0.0358357646930081,0.168581309509722,-1.39551430566704,0.0402903718775001,0.116360932449102,-4.16382001458195,-0.881565383737897
1985,9.01608258705532,-0.327888602414276,-0.246072662471743,-0.420687466176023,0.824474817192147,-0.378476749814006,-0.0812021363306625,1.63056884204334,0.586251699540795
1986,-2.60719866985049,-0.157730217669535,-0.0763917314505527,-0.239955254379456,-0.658512713332494,-0.12723674587026,-0.0268255883401043,-0.123020697876449,2.24431796551739
1987,1.3151574304876,0.132385153643902,0.103207028370569,0.150777944899421,0.0655231027590499,0.164010383708742,0.0344905764207777,-0.704588634341313,0.42825302031487
1988,0.323150888069598,0.522457511526039,0.382723616991619,0.671512131660606,-0.243417734533228,0.615264638923009,0.0957463579519837,-1.00413496735126,1.39916828945377
1989,7.0967817028955,-0.427513144023134,-0.377841965587397,-0.477752694095901,1.09466477479067,-0.373473980227477,-0.092058243746485,0.988340303093722,1.06772356562147
1990,15.3560498749653,-0.207526813003611,-0.00848971936648724,-0.407016532370097,1.85977063073076,-0.0622054737426971,-0.132923228674631,2.78283717699363,-0.0499401033941968
1991,0.730955404278987,0.0324165045846065,-0.0492196443456443,0.113720616838012,0.271899833287026,-0.100929841622666,0.0261514031675469,0.229355654348439,0.862295890037196
1992,-9.42850170916341,0.00231680874151863,-0.0600317405248774,0.074458753528436,-0.778947617540529,0.0703529161326237,0.0331656517800498,-1.26210426484182,0.242837270762963
1993,7.81767853463808,-0.317825900532871,-0.260926007904182,-0.36480212229883,1.0272282782481,-0.138357200476829,-0.0368804828371232,-1.42154258057715,-0.743406615674324
