Year,PREANAV,TMPANA,TMNANA,TMXANA,WETANA,VAPANA,PETANA,CLDANAV,Potato.yield
1996,-2.029956590494,0.141487891056133,0.235898162757486,0.0374211751132272,0.457896045311067,0.315555203506356,-0.0353811860667008,0.922272092946365,-23121.1451299041
1997,-7.81122691771689,-0.148826871943481,-0.215324789422098,-0.0918357507848064,-1.55783467243558,-0.163126410562064,-0.0286688536025785,0.640920191030709,-30538.3101226827
1998,37.6331401123041,0.0308153516256091,0.223370087198248,-0.161091689200525,2.73345795643395,0.258199101004763,-0.0890169043681324,1.90158989256997,-27758.814612961
1999,-13.416855500431,0.10041456176339,0.0619827926185188,0.149653359866061,-1.45822606808033,-0.0204682617931411,0.0295746616366372,0.204281197564164,-13546.6586007391
2000,-11.5612137559222,-0.220029241530135,-0.309486673161278,-0.129600603585036,-1.03288674597844,-0.499128498955795,0.0161058444117312,-0.0810058939867275,-45255.8420860169
2001,-4.82993465416945,0.0394839417450328,0.168961689858858,-0.0788535795538259,-0.110524077260369,0.0622183895168078,-0.00142335604285027,-0.284271382082693,-17547.3650687946
2002,1.58698180482716,0.248954111588898,0.267327881678913,0.231894431959692,0.0188619380738899,0.23357240362467,-0.00701293972710815,1.78448473327625,-34196.227549072
2003,6.96953562106767,0.47838126800146,0.505611902298906,0.452643430955519,0.315271300024326,0.264933543367789,0.132337093358958,-1.73473754790987,-16794.4295268491
2004,-7.57227320544791,0.147765410982718,0.163813751718827,0.143393417433654,-0.501295991409057,-0.0236981912538354,0.0786267432153478,-1.88193822564109,-31384.9710021261
2005,-8.5684446747196,-0.0928934594673265,-0.168066570061324,-0.0258556086058981,-0.800839936226259,-0.262322800240202,0.0368560098420634,-1.15711729991737,81903.1480250972
2006,-7.83897878674738,0.00640465665131629,-0.0500290630415492,0.0648963528368576,-0.34336053442728,-0.0309402835913133,0.0740248932391001,-2.78027477073874,79543.9275548208
2007,5.70612445846875,-0.134340240661338,-0.00207372722184118,-0.274350698238074,0.461142213987882,-0.109550641307163,-0.0548666065935377,0.688589361894827,77136.3675870445
2008,-1.17313493907124,-0.225128151405297,-0.264200562602202,-0.193596761830698,0.612668309019222,-0.268153873387764,-0.0108184896558514,-0.790524902016706,89495.4681217685
2009,-8.44675697936731,0.184040924419435,0.0735904308173652,0.307158162058986,-0.298782249333255,0.1932500201669,0.0711692440521592,-1.5876175624733,63375.2291589927
2010,2.82525833758051,0.403166986812863,0.481299253036859,0.327914073430978,0.30679053893045,0.484661039356819,0.0390965945304922,-0.06268861947499,93902.6506987172
2011,-14.0070889882278,0.242250035774987,0.148925904056284,0.328670972285284,-0.950613326189666,0.266079184181994,0.0649635617791509,-1.36573807302175,58712.7327409419
2012,-4.91379895679214,-0.268709928694197,-0.273529616124364,-0.260571141378101,-0.900993844693602,-0.232495545357573,-0.0152298542018672,-1.16676592311359,67762.4752856668
2013,8.6151284318874,-0.149712906594683,-0.156067307505079,-0.139812267559176,0.995648983418645,-0.201063149261884,-0.0164836534125614,0.154227830249496,5937.87833289194
2014,-12.0703068221892,-0.120758897926471,-0.158687170085866,-0.0790524062579401,-0.330684841852928,-0.0596236275309359,-0.0277978358529314,0.237243187067492,-415.058117382694
2015,-5.65010471902185,-0.281847902689567,-0.311389203866725,-0.258291557474397,-0.629995320508321,-0.448176980164728,-0.0281724015229772,0.58228014734042,3178.66593484289
2016,-1.05426525861061,0.347020079116032,0.415826591152349,0.272470278791452,0.277717547452468,0.553276792836733,-0.000607350422700215,0.929338711068262,-55186.9495104313
2017,1.03721155904451,0.0558450474903296,-0.00703978502864899,0.123233102539611,-0.397546237970561,0.114737691473451,-0.00510268255209745,0.528418878251024,-57739.9044532052
2018,20.1343257339436,-0.31537299756668,-0.299988332409718,-0.336003086229915,0.534213323222589,-0.333794284254576,-0.0626583979111723,0.899520648888718,-66470.1988934789
2019,-3.56292273391351,0.113365943945006,0.0469809490091357,0.174761712482866,-0.517003768968079,-0.0523191343473393,0.0267255035000771,0.76264402298132,-62605.8328312523
2020,11.3754661554733,-0.0679381279746138,0.0138680592279279,-0.144472501322042,1.43880248545743,0.10916314119515,-0.0639509783183492,1.43778900052884,-53042.8062665256
